Block Size, Read Throughput, Read Latency
512, 613, 0.0007
1024, 1899, 0.0015
2048, 2937, 0.0042
4096, 4234, 0.0046
8192, 4477, 0.0056

Block Size, Write Throughput, Write Latency
512, 1028, 0.0005
1024, 1816, 0.0031
2048, 2594, 0.0035
4096, 3356, 0.0048
8192, 4029, 0.0053
